,country,points,price,variety
0,Italy,87,,White Blend
1,Portugal,87,15,Portuguese Red
2,US,87,14,Pinot Gris
3,US,87,13,Riesling
4,US,87,65,Pinot Noir
5,Spain,87,15,Tempranillo-Merlot
6,Italy,87,16,Frappato
7,France,87,24,Gewürztraminer
8,Germany,87,12,Gewürztraminer
9,France,87,27,Pinot Gris
10,US,87,19,Cabernet Sauvignon
11,France,87,30,Gewürztraminer
12,US,87,34,Cabernet Sauvignon
13,Italy,87,,Nerello Mascalese
14,US,87,12,Chardonnay
15,Germany,87,24,Riesling
16,Argentina,87,30,Malbec
17,Argentina,87,13,Malbec
18,Spain,87,28,Tempranillo Blend
19,US,87,32,Meritage
20,US,87,23,Red Blend
21,US,87,20,Pinot Noir
22,Italy,87,19,White Blend
23,US,87,22,Merlot
24,Italy,87,35,Nero d'Avola
25,US,87,69,Pinot Noir
26,Italy,87,13,White Blend
27,Italy,87,10,Nero d'Avola
28,Italy,87,17,Red Blend
29,US,86,16,Chenin Blanc
30,France,86,,Gamay
31,Italy,86,,Red Blend
32,Italy,86,,White Blend
33,US,86,50,Red Blend
34,US,86,20,Sauvignon Blanc
35,US,86,50,Pinot Noir
36,Chile,86,15,Viognier-Chardonnay
37,Italy,86,21,Cabernet Sauvignon
38,Italy,86,11,Primitivo
39,Italy,86,12,Nero d'Avola
40,Italy,86,17,Catarratto
41,US,86,22,Pinot Noir
42,France,86,9,Gamay
43,US,86,14,Sauvignon Blanc
44,Chile,86,9,Merlot
45,US,86,40,Red Blend
46,Italy,86,13,Inzolia
47,US,86,13,Riesling
48,US,86,16,Sauvignon Blanc
49,France,86,14,Gamay
50,Italy,86,,Red Blend
51,Chile,85,22,Petit Verdot
52,Italy,85,14,Monica
53,France,85,15,Bordeaux-style White Blend
54,Italy,85,,Red Blend
55,US,85,30,Chardonnay
56,US,85,14,Chardonnay
57,Italy,85,13,Grillo
58,Chile,85,13,Pinot Noir
59,US,86,55,Malbec
60,US,86,100,Cabernet Sauvignon
61,Italy,86,17,Sangiovese
62,US,86,25,Cabernet Franc
63,France,86,58,Champagne Blend
64,US,86,26,Sauvignon Blanc
65,France,86,24,Chardonnay
66,France,86,15,Chardonnay
67,US,86,46,Bordeaux-style Red Blend
68,US,86,12,Red Blend
69,France,86,55,Champagne Blend
70,US,86,12,Chardonnay
71,US,86,40,Cabernet Sauvignon
72,Italy,86,32,Aglianico
73,US,86,75,Cabernet Sauvignon
74,US,86,55,Petite Sirah
75,US,86,75,Bordeaux-style Red Blend
76,Germany,86,9,Riesling
77,Australia,86,18,Chardonnay
78,US,86,25,Pinot Noir
79,Portugal,86,,Touriga Nacional
80,Chile,86,12,Carmenère
81,Spain,86,16,Albariño
82,France,86,11,Petit Manseng
83,Australia,86,20,Rosé
84,US,86,24,Zinfandel
85,Germany,86,10,Riesling
86,US,86,20,Albariño
87,US,86,55,Merlot
88,Italy,86,29,Vernaccia
89,Italy,88,19,Rosato
90,US,88,23,Red Blend
91,US,88,18,Pinot Gris
92,US,88,55,Meritage
93,Austria,88,12,Grüner Veltliner
94,US,88,22,Viognier
95,France,88,20,Gamay
96,France,88,18,Gamay
97,US,88,20,Riesling
98,Italy,88,30,Sangiovese
99,US,88,75,Bordeaux-style Red Blend
100,US,88,18,Pinot Gris
101,US,87,20,Riesling
102,US,87,20,Riesling
103,Chile,87,18,Chardonnay
104,Italy,87,16,Red Blend
105,Italy,87,14,White Blend
106,Italy,87,30,Red Blend
107,Italy,87,18,Vermentino
108,US,87,26,Zinfandel
109,Italy,87,30,Red Blend
110,France,87,23,Gamay
111,US,87,85,Cabernet Sauvignon
112,Italy,87,15,Red Blend
113,Italy,87,19,White Blend
114,US,87,18,Bordeaux-style Red Blend
115,US,87,18,Chardonnay
116,US,87,25,Grenache Blanc
117,US,87,44,Syrah
118,Italy,87,80,Red Blend
119,France,92,80,Riesling
120,Italy,92,70,Nebbiolo
121,US,92,36,Chardonnay
122,US,92,39,Zinfandel
123,Australia,92,40,Shiraz-Cabernet Sauvignon
124,US,92,45,Cabernet Sauvignon
125,South Africa,91,45,Cabernet Sauvignon
126,France,91,48,Gewürztraminer
127,France,91,13,White Blend
128,France,91,17,Pinot Blanc
